SeqID,StudyID,SampleType,Library,WOY,DNAplate,Site,Date,MonthStart
oro161168,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161169,oro16,sample,libA,23,05,PEN,2016-06-09,June
oro161170,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161171,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161171a,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161171b,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161172,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161173,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161174,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161175,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161176,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161178,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161179,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161180,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161181,oro16,sample,libA,24,05,PEN,2016-06-17,June
oro161324,oro16,sample,libA,20,05,EPS,2016-05-21,May
oro161325,oro16,sample,libA,20,05,EPS,2016-05-21,May
oro161327,oro16,sample,libA,20,05,EPS,2016-05-21,May
oro161328,oro16,sample,libA,20,05,EPS,2016-05-21,May
oro161329,oro16,sample,libA,20,05,EPS,2016-05-21,May
oro161330,oro16,sample,libA,20,07,EPS,2016-05-21,May
oro161331,oro16,sample,libA,20,07,EPS,2016-05-21,May
oro161334,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161335,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161336,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161337,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161338,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161339,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161340,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161341,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161342,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161343,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161344,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161345,oro16,sample,libA,21,07,EPS,2016-05-24,May
oro161346,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161347,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161348,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161349,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161350,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161351,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161352,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161353,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161354,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161355,oro16,sample,libA,22,07,EPS,2016-06-04,May
oro161356,oro16,sample,libA,22,08,EPS,2016-06-04,May
oro161357,oro16,sample,libA,22,08,EPS,2016-06-04,May
oro161358,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161360,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161361,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161362,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161363,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161364,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161365,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161366,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161367,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161368,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161369,oro16,sample,libA,23,08,EPS,2016-06-10,June
oro161435,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161436,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161437,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161438,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161439,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161440,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161441,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161442,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161443,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161444,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161445,oro16,sample,libA,20,06,CNB,2016-05-19,May
oro161447,oro16,sample,libA,21,06,CNB,2016-05-26,May
oro161448,oro16,sample,libA,21,06,CNB,2016-05-26,May
oro161449,oro16,sample,libA,21,06,CNB,2016-05-26,May
oro161450,oro16,sample,libA,21,06,CNB,2016-05-26,May
oro161451,oro16,sample,libA,21,06,CNB,2016-05-26,May
oro161452,oro16,sample,libA,21,06,CNB,2016-05-26,May
